Reference, Quantity, Value, Footprint, Datasheet, Notes
A1 A2 A3 A4 ,4,"LM301","","http://www.ti.com/lit/ds/symlink/lm101a-n.pdf","If TL071, remove caps between pin 1 and 8"
C1 C8 C24 ,3,"100nF","","~","ceramic"
C10 ,1,"2nF","","~","ceramic"
C12 ,1,"1nF","","~","ceramic"
C15 ,1,"50pF","","~","ceramic"
C16 ,1,"5pF","","~","ceramic"
C13 C14 C18 C19 C20 C21 ,6,"10uF 35V","","~","electrolytic"
C7 C22 C23 ,3,"1uF 35V","","~","electrolytic"
C3 C6 ,2,"30pF","","~","ceramic"
C9 ,1,"10nF","","~","ceramic"
D1 D2 ,2,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
E1 E2 E3 E4 E5 E6 E7 ,7,"PJ301BM","","https://www.thonk.co.uk/shop/3-5mm-jacks/"
J10 ,1,"NEG. NULL","","~"
J18 ,1,"POS. NULL","","~"
J2 ,1,"Y INPUT","","~"
J3 ,1,"X INPUT","","~"
J5 ,1,"OUTPUT","","~"
J6 ,1,"+15V","","~"
J8 ,1,"-15V","","~"
J9 ,1,"GAIN TRIM","","~"
JGND1 J7 ,2,"GND","","~"
JN15 ,1,"NEGATIVE SUPPLY","","~"
JP15 ,1,"POSITIVE SUPPLY","","~"
R1 ,1,"82k","","~"
R12 ,1,"2.7k","","~"
R13 ,1,"27k","","~"
R14 ,1,"270k","","~"
R15 ,1,"1M","","~"
R16 ,1,"1.5M","","~"
R17 ,1,"10M","","~"
R2 R29 R31 ,3,"100k LIN","","~"
R23 ,1,"100k LOG","","~"
R20 R24 ,2,"100k","","~"
R18 R25 R27 R36 ,4,"1k","","~"
R19 R26 ,2,"10k","","~"
R28 ,1,"100R","","~"
R3 R6 R7 R8 R9 ,5,"100k 1%","","~"
R30 ,1,"47k","","~"
R32 ,1,"18k","","~"
R33 R34 ,2,"50k","","~"
R35 ,1,"250k","","~"
R37 ,1,"39k","","~"
R38 ,1,"120k","","~"
S1 ,1,"GAIN","",""
S2 ,1,"AUD / DC","",""
T1 T2 T4 T5 T6 T7 ,6,"TIP","","~"
