Reference, Quantity, Value, Footprint, Datasheet
A20 ,1,"LM301","","http://www.ti.com/lit/ds/symlink/lm101a-n.pdf"
BADSR-1 BADSR-2 BADSR-4 BVCA-5 BADSR-6 BVCA-6 BADSR-7 BVCA-7 BADSR-8 BVCA-8 SW8 BADSR-9 BVCA-9 BADSR-10 BVCA-10 BADSR-11 BVCA-11 BVCA-14 BVCA-18 BVCA-19 B42-1 B42-2 B42-3 B42-4 B42-5 B42-6 B42-7 B42-11 B42-12 B42-13 B42-14 B42-15 B42-16 B42-17 ,34,"~","","~"
BADSR-5 B42-10 ,2,"+15V","","~"
BADSR-3 B42-8 ,2,"-15V","","~"
B42-9 ,1,"GND","","~"
BVCA-1 ,1,"+control","","~"
BVCA-2 ,1,"-control","","~"
BVCA-3 ,1,"lin","","~"
BVCA-4 ,1,"exp","","~"
C62 C63 C64 C65 C69 ,5,"1uF 35V","","~"
C66 ,1,"30pF","","~"
C67 ,1,"50pF","","~"
C68 ,1,"10uF 35V","","~"
D21 D22 D23 D24 D25 ,5,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
E45 E46 E47 E48 E50 E51 E52 E53 E55 E56 E57 E58 E59 E60 E62 E63 E64 E65 E66 E99 E100 ,21,"PJ301BM","","https://www.thonk.co.uk/shop/3-5mm-jacks/"
J100 ,1,"VCA OUT","","~"
Q5 ,1,"2N5460","","~"
Q6 ,1,"2N5172","","~"
R170 ,1,"2.2k","","~"
R172 ,1,"68k","","~"
R173 ,1,"3.9k","","~"
R177 ,1,"22k","","~"
R174 R175 R179 R180 R182 ,5,"1M LOG","","~"
R183 ,1,"9.1k 1%","","~"
R184 ,1,"10k 1%","","~"
R192 ,1,"54.9k 1%","","~"
R176 R194 R195 R214 ,4,"10k","","~"
R197 ,1,"150k","","~"
R185 R186 R200 R201 ,4,"100k LOG","","~"
R189 R190 R191 R193 R196 R202 R203 ,7,"100k","","~"
R204 R206 ,2,"1.2k","","~"
R205 R207 ,2,"820R","","~"
R171 R178 R199 R208 ,4,"1k","","~"
R209 R211 ,2,"33k","","~"
R181 R187 R188 R198 R210 R212 R213 ,7,"100k LIN","","~"
SW1 ,1,"manual start","","~"
T45 ,1,"FROM ??? ??? BOARD 5-1","","~"
T46 ,1,"KEYBOARD GATE","","~"
T47 ,1,"TRIGGER","","~"
T60 ,1,"output to left power amp","","~"
T65 ,1,"output to right power amp","","~"
T99 ,1,"TO VCA","","~"
