Reference, Quantity, Value, Footprint, Datasheet
C60 C61 ,2,"1uF 35V","","~"
C62 ,1,"50pF","","~"
E35 E36 E37 E38 E39 E40 E41 E42 E43 ,9,"PJ301BM","","https://www.thonk.co.uk/shop/3-5mm-jacks/"
J1 ,1,"NON-INVERTING IN","","~"
J10 ,1,"GAIN TRIM","","~"
J11 ,1,"DNP-UNUSED","","~"
J14 J18 ,2,"CVR TRIM","","~"
J2 ,1,"INVERTING IN","","~"
J3 J9 ,2,"Fc CONTROL IN","","~"
J5 ,1,"OUTPUT","","~"
PWR1 PWR2 PWR3 J6 ,4,"+15V","","~"
J7 ,1,"GND","","~"
J8 ,1,"-15V","","~"
R140 R141 R142 R143 R144 ,5,"100k LOG","","~"
R145 R154 R155 ,3,"100k 1%","","~"
R146 R147 R156 R158 R160 R162 R164 ,7,"100k LIN","","~"
R148 R149 R150 R151 R152 ,5,"100k","","~"
R153 ,1,"250R LIN","","~"
R157 ,1,"3.3M","","~"
R159 ,1,"150k 1%","","~"
R161 ,1,"150k","","~"
R163 ,1,"10k LIN","","~"
T35 T36 T37 T38 T39 T40 T41 T42 ,8,"~","","~"
T43 ,1,"VCF OUTPUT","","~"
